Wavelength,Intensity
410.0,16.86952380952381
411.03076923076924,16.913333333333334
412.0615384615385,17.536190476190477
413.0923076923077,18.075238095238095
414.12307692307695,18.951428571428572
415.1538461538462,20.05047619047619
416.1846153846154,21.53047619047619
417.21538461538466,23.32095238095238
418.24615384615385,24.68285714285714
419.2769230769231,26.74
420.3076923076923,28.91904761904762
421.33846153846156,31.309523809523807
422.3692307692308,33.57238095238095
423.4,35.730476190476196
424.4307692307692,38.10380952380952
425.46153846153845,40.7552380952381
426.4923076923077,43.549523809523805
427.5230769230769,46.338095238095235
428.55384615384617,49.322857142857146
429.5846153846154,52.406666666666666
430.61538461538464,55.78571428571429
431.6461538461539,59.26761904761905
432.6769230769231,62.64857142857143
433.70769230769235,66.33619047619048
434.73846153846154,70.24666666666667
435.7692307692308,73.94190476190477
436.8,77.04666666666667
437.83076923076925,79.78190476190477
438.8615384615385,82.3152380952381
439.89230769230767,84.52095238095238
440.9230769230769,87.36095238095238
441.95384615384614,90.05619047619048
442.9846153846154,92.61238095238096
444.0153846153846,94.6352380952381
445.04615384615386,96.8504761904762
446.0769230769231,99.0847619047619
447.10769230769233,100.59333333333333
448.13846153846157,102.03142857142858
449.1692307692308,104.04095238095239
450.20000000000005,105.05238095238096
451.2307692307692,106.2657142857143
452.26153846153846,107.15714285714286
453.2923076923077,107.73809523809524
454.32307692307694,108.26952380952382
455.3538461538462,108.95333333333333
456.38461538461536,109.07523809523809
457.4153846153846,109.08666666666667
458.44615384615383,108.71142857142857
459.4769230769231,108.43714285714286
460.5076923076923,108.17428571428572
461.53846153846155,107.42952380952381
462.5692307692308,106.82000000000001
463.6,106.2752380952381
464.63076923076926,105.73619047619047
465.6615384615385,104.95904761904762
466.69230769230774,104.25809523809524
467.7230769230769,103.5704761904762
468.75384615384615,102.47714285714287
469.7846153846154,101.68285714285715
470.81538461538463,100.73809523809524
471.84615384615387,100.0104761904762
472.87692307692305,98.97809523809524
473.9076923076923,97.74761904761905
474.9384615384615,96.34380952380953
475.96923076923076,95.01238095238095
477.0,93.19714285714286
478.03076923076924,91.07523809523809
479.0615384615385,88.77238095238096
480.0923076923077,86.50190476190477
481.12307692307695,84.02571428571429
482.1538461538462,81.64666666666668
483.18461538461537,79.50571428571429
484.2153846153846,78.15333333333334
485.24615384615385,76.61619047619048
486.2769230769231,75.6047619047619
487.3076923076923,74.65238095238095
488.33846153846156,73.99714285714286
489.3692307692308,73.12666666666667
490.4,72.66571428571429
491.4307692307692,72.31333333333333
492.46153846153845,71.83142857142857
493.4923076923077,71.63142857142857
494.5230769230769,71.87333333333333
495.55384615384617,71.53238095238096
496.5846153846154,71.50190476190477
497.61538461538464,71.63333333333334
498.6461538461539,72.09238095238095
499.67692307692306,72.39714285714285
500.7076923076923,72.56476190476191
501.73846153846154,72.87904761904763
502.7692307692308,73.13809523809525
503.8,73.1552380952381
504.83076923076925,73.03142857142858
505.8615384615385,72.42571428571429
506.89230769230767,71.72666666666667
507.9230769230769,70.58190476190477
508.95384615384614,69.08666666666667
509.9846153846154,66.99333333333334
511.0153846153846,64.60666666666667
512.0461538461539,62.51142857142858
513.0769230769231,60.677142857142854
514.1076923076923,60.096190476190486
515.1384615384616,60.20857142857143
516.1692307692308,60.67333333333333
517.2,61.296190476190475
518.2307692307693,61.99523809523809
519.2615384615385,62.62952380952382
520.2923076923076,63.07523809523809
521.3230769230769,63.43714285714286
522.3538461538461,63.846666666666664
523.3846153846154,64.06
524.4153846153846,64.30761904761906
525.4461538461538,64.54380952380953
526.4769230769231,64.78571428571429
527.5076923076923,64.82000000000001
528.5384615384615,64.96095238095238
529.5692307692308,64.96476190476191
530.6,65.08857142857143
531.6307692307693,65.0847619047619
532.6615384615385,64.97619047619048
533.6923076923077,65.08857142857143
534.723076923077,65.05619047619048
535.7538461538461,64.92095238095239
536.7846153846153,64.8847619047619
537.8153846153846,64.87142857142858
538.8461538461538,64.8104761904762
539.876923076923,64.67714285714285
540.9076923076923,64.56857142857143
541.9384615384615,64.35142857142857
542.9692307692308,64.19714285714286
544.0,63.985714285714295
545.0307692307692,63.77047619047619
546.0615384615385,63.59142857142858
547.0923076923077,63.37428571428572
548.123076923077,63.016190476190474
549.1538461538462,62.920952380952386
550.1846153846154,62.471428571428575
551.2153846153847,62.15714285714286
552.2461538461539,61.75904761904762
553.276923076923,61.40476190476191
554.3076923076923,60.941904761904766
555.3384615384615,60.48857142857143
556.3692307692307,59.8847619047619
557.4,59.33047619047619
558.4307692307692,58.73619047619047
559.4615384615385,58.16666666666667
560.4923076923077,57.385714285714286
561.5230769230769,56.73428571428572
562.5538461538462,55.82761904761905
563.5846153846154,55.01238095238095
564.6153846153846,54.03142857142858
565.6461538461539,53.402857142857144
566.6769230769231,54.50571428571429
567.7076923076924,58.640952380952385
568.7384615384615,64.40666666666667
569.7692307692307,70.01809523809524
570.8,74.9857142857143
571.8307692307692,79.16666666666667
572.8615384615384,83.2752380952381
573.8923076923077,86.75142857142858
574.9230769230769,89.50761904761904
575.9538461538461,91.32666666666667
576.9846153846154,92.74952380952381
578.0153846153846,93.93238095238095
579.0461538461539,94.30380952380953
580.0769230769231,94.28857142857143
581.1076923076923,94.0657142857143
582.1384615384616,93.37238095238095
583.1692307692308,92.37809523809524
584.2,91.39714285714285
585.2307692307693,90.18571428571428
586.2615384615384,88.59142857142858
587.2923076923076,86.88285714285715
588.3230769230769,85.19714285714286
589.3538461538461,83.02190476190476
590.3846153846154,81.07714285714286
591.4153846153846,79.10571428571428
592.4461538461538,77.15714285714286
